Date,Location,Cost (millions 2013US$),INES,Smyth Magnitude,Region,Description,Fatalities
6/28/1992,Sweden,,2,,WE,"Barseback-2 (Sweden) (see 9.2.7.1)
A leaking pilot valve in the boiling water reactor in Barseback initiated automatically
safety functions like reactor scram, high-pressure safety injection, core spray and containment
spray systems. The steam jet from an open safety valve was impinging on thermally insulated
equipment. Insulating material was washed into the suppression pool and affected the emergency
core cooling system, which is essential for heat removal in case of a leak the reactor coolant.
Similar incidents occurred in several countries and the problem turned out to apply to many, if not
most, of the light water reactors in the world",0
5/12/1988,France,,2,,WE,"The Civaux-1 pressurized water reactor was shut down for five days, when, during startup
tests, a 25 cm diameter pipe of the main residual heat removal system cracked open and a large
leak (30,000 liters per hour) occurred in the primary cooling circuit. The reactor core needs to be
cooled permanently, even when it is shut down, in order to evacuate the significant amount of
residual heat of the fuel. It took nine hours to isolate the leak and reach a stable situation. An
18 cm long crack on a weld was identified and 300 m3 of primary coolant had leaked into the
reactor building. The unit had been operating for only six months at 50% power level maximum
prior to the event. The operator, EDF, suggested rating this event at level 1 on the INES scale, but
the safety authorities decided on level 2.",0
3/18/2001,Tawian,,,,A,"The pressurized water reactor was affected by a total loss of external and internal power
supply. Power supply is crucial to evacuate residual heat from the reactor core. The plant is
situated near the sea. Salt deposit on insulators due to foggy weather caused instability of the high
voltage grid. During a switch to the grid a short circuit in a power switch of the emergency power
line occurred and caused a cable fire. A breaker and switchgear was totally destroyed by the fire
and the diesel generators could not be started up manually because of heavy smoke. It took about
two hours to restore power supply.",0
8/12/2001,Germany,,2,,WE,"Philippsburg (Germany) (see 9.2.3.1)
A deviation from the specified boron concentration – a neutron absorber needed to slow
down or stop the nuclear reaction – in several flooding storage tanks during the restart of the plant
was reported to the authorities. In addition, the liquid level had not reached the required value
fixed in the operational instructions for the start-up and was only implemented with a delay. The
emergency core cooling system will only work effectively if it is operated according to the design
basis conditions. Subsequent investigations revealed that significant deviations from start-up
requirements and violations from related instructions seemed to be common probably for several
years and took place in other German nuclear plants.",0
12/14/2001,Germany,,1,,WE,"Brunsbüttel (Germany) (see 9.2.5.1)
A hydrogen explosion caused a high degree of damage to the spray system piping of the
boiling water reactor. The head spray line is used for cooling the inner surface of the reactor
pressure vessel head and the flange area upon plant shutdown. Some parts of the 5.6 mm diameter
pipes were ruptured. An approximately 2.7 m long piping section had burst and was completely
destroyed. Some sections of the piping were missing. Prior to this event the possibility of severe
explosions caused by radiolysis gas during normal operation was nearly excluded",0
5/1/2005,Bulgaria,,2,,EE,"Kozloduy-5 (Bulgaria) (see 9.2.3.2)
In the process of power reduction at the Russian designed pressurized water reactor
(WWER) the operators identified that three control rod assemblies remained in the upper end
position. The follow-up movement tests of the remaining control rod assemblies identified that 22
out of 61 could not be moved with the driving mechanisms. The exact number of control rod
assemblies unable to scram (to drop due to the gravity only) remains unknown but it is thought to
be between 22 and 55. The WWER-1000 scram system is designed to put the reactor in safe
shutdown if one control rod assembly at the most is jammed in the upper position. The operator
had originally rated the incident INES level 0, but the safety authorities finally admitted to a level
2 rating.",0
6/25/2006,Sweden,,,,WE,"Forsmark, Sweden (see 9.2.6.2)
A short circuit in an outdoor switching station of the grid nearby the boiling water reactors
caused the emergency shutdown (scram) of unit 1 and, in a complex scenario, led to a number of
subsequent failures at the plant. Due to a design error, the disconnection of the plant from the grid
and the switch to house load operation – where the power plant uses its own power to operate
essential auxiliaries – did not function as planned. An inappropriate converter adjustment led to
the failure of the attempt to connect safety related equipment to the emergency power supply. The
start up of two of the four emergency diesel generators was aborted, which lead to a partial
blackout even in the main control room. Due to the lack of information about the important
parameters for a period of time the exact state of the plant and the consequences of potential
actions to perform were unclear. The shift team decided nevertheless to try to reconnect the plant
to the grid, which was performed successfully.",0
08/18/2015,"Blayais, France",,2,,WE,Accidental overexposure of a worker to a dose of ionising radiation exceeding regulation limits,0
05/28/2015,"Cattenom, France",,1,,WE,Unexpected opening of a secondary system valve which resulted in a steam release,0
11/28/2014,"Zaporizhia, Ukrain",,0,,EE,Disconnection of the unit 3 of the plant from the grid,0
05/17/2014,"Tarapur, Maharashtra, India",,1,,A,Overexpossure of a worker during a transfer operation of irradiated neutron detector,0
10/08/2013,"Krsko, Slovenia",,0,,EE,Discovery of damaged fuel rods during unloading and fuel inspections,0
02/12/2013,"Puspokszilagy, Hungary",,1,,EE,Three workers were expossed to radiation while handling radioactive waste,0
09/26/2013,"Petten, Netherlands",,2,,WE,"Three out of six control rods were found to show deficiences, the plant had to shut down for 5 months",0
05/30/2013,"Forsmark, Sweden",,1,,WE,Emergency generator failed to start after loss of two phases in the incoming supply,0
04/24/2013,"Blayais, France",,2,,WE,Accidental overexposure of a worker beyond regulatory limit,0
10/24/2012,"Flamanville, France",,1,,WE,Leak on the auxialliary line of the reactor's coolant system,0
09/26/2012,"Drôme, France",,2,,WE,"Non-complience to regulations applicable to labelling, storage and transfer of wet fissible materials",0
05/09/2012,"Paks, Hungary",,1,,EE,Deviation from specifications on a maintenance task due to lack of written instructions,0
06/23/2012,"Rajasthan, India",,1,,A,Exposure of workers to tritium,0
05/04/2012,"Penly, France",,1,,WE,As a concequence of fire radioactive water leaked into the collection tanks inside the reactor buldings,0
09/01/2012,"Busan, South Korea",,2,,A,Station blackout occurred when back up generator failed to start while primary generator was out of service for maintenance,0
12/22/2011,"Bosco Marengo, Italy",,1,,WE,Fire in the decontamination machine of a former plant,0
12/21/2011,"Cattenom, France",,2,,WE,Absence of siphon-breakers in two out of the four reactors of the facility,0
10/19/2011,"Karachi, Pakistan",,1,,A,The nuclear power plant imposed a seven-hour emergency after heavy water leaked from a feeder pipe to the reactor,0
09/21/2011,"Codolet, France",,1,,WE,One worker died and four were injured when an explosion in the nuclear facility triggered a fire,1
03/11/2011,"Onagawa, Japan",,2,,A,"The cooling system of the reactor failed due to an earthquake, however the reactor had allready been shut down before the earthquake",0
02/16/2011,"Tricastin, France",,2,,WE,Failed back-up diesel generator was discovered during a periodic test,0
11/19/2003,"La Hague, France",,2,,WE,Worker was contaminated by plutonium during a dust remova opperation,0
06/10/2009,"Cadarache, France",,2,,WE,"Underestimation of plutonium deposits in the facility glove boxes, operations suspended for a month",0
08/27/2008,"Trhange, Belgium",,1,,WE,Maintenance operations revealed last Thursday that a fan for the management of air between,0
11/22/2002,"Trhange, Belgium",,2,,WE,"On November 22, 2002, an incident occurred in Block 2 (INES 2). The reactor was shut down at this time and no longer critical. However it remained necessary for decay heat to be removed from the reactor by circulating coolant. The November 22 incident involved accidental opening of a pressure relief valve. This caused the high pressure primary coolant circuit to rapidly depressurize, therefore reducing the ability of the circuit to remove heat from the reactor (the high pressure prevents the coolant - water - from boiling), leading to possible reactor overheating and eventual meltdown. The pressure relief valve was closed again after three minutes.",0
05/12/1988,"Civaux, France",,2,,NA,A large leak of coolant into the reactor building occurred when a pipe cracked open,0
11/03/1997,"Ibaraki Prefecture, Japan",,3,,A,At least 37 workers were expossed to elevated levels of radiation after a small explosion in the plant. A week after high levels of Calcium were detected 25 miles south-west of the plant,0
05/15/1996,"Morris, Grundy County, Illinois, USA",,,,NA,"Plunging water levels around the nuclear fuel in the reactor's core prompt shut down at Dresden Generating Station,",0
03/11/1978,"Pinawa, Manitoba, Canada",,,,NA,"The reactor which was cooled by a type of oil, terphenyl isomer, experienced a major coolant leak as one of the pipes developed a hole and 2,739 litres of oil escaped. It took several weeks for workers to find and repair the leak. Much of the leaked oil was then discharged into the Winnipeg River. According to Dr. Agnes Bishop of the Atomic Energy Control Board, (later the CNSC), the fuel reached ""high temperatures"".",0
09/25/1990,"Pickering, Canada",,,,NA,"Pickering reactor 2 experienced large power shifts in the reactor
core. Staff spent two days trying to stabilize it before shutting it down. The AECB later
criticized the utility for not shutting down immediately.",0
08/02/1992,"Pickering, Canada",,,,NA,"Pickering reactor 4 had a heavy water leak from a heat exchanger that
resulted in a release of 50 trillion becquerels of tritium into Lake Ontario",0
